rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
45500,1,1,0,2.4,-1.2,7.1,0,0,0.7
000,1,0,1,0.8,-3.2,6.3,0,0,0.7
46500,0,0,1,1.2,-2.4,5.1,0,0,0.1
31000,0,0,0,-1,-6.8,3.2,0,0,1.9
45500,0,0,0,-5.4,-11.7,-2.4,0,0,1.2
51500,0,0,0,-0.2,-3.5,3.5,0,0,1.3
72000,0,1,0,-0.4,-5.6,5.2,0,0,0.6
77500,1,1,0,2.8,-1.5,7.8,0,0,0.6
57500,1,0,1,-0.7,-5.1,4.5,0,0,2.5
44500,0,0,1,-0.9,-7.9,4.6,0,0,1.3
53500,0,0,0,2.1,-3.2,6.7,0,0,0.9
56500,0,0,0,2.2,-1.4,6.7,0,0,1.5
37500,0,0,0,-0.8,-5.6,4.7,0,0,0.8
13000,0,1,0,-1.1,-4.1,2.2,0,0,1.6
63000,1,1,0,-2.7,-6.2,0.6,0,0,1.9
000,1,0,1,-0.6,-7.8,4.2,0,0,0.9
21000,0,0,1,1.5,-2.7,3.5,0,0,2
63000,0,0,0,-0.9,-6.2,4.8,0,0,0.8
36000,0,0,0,2,-2.8,6.5,0,0,0.7
41500,0,0,0,-1.4,-5.3,3,0,0,2.3
50000,0,1,0,-2.1,-8.2,2.5,0,0,1
66000,1,1,0,2,-3.9,6.1,0,0,1.5
18500,1,1,1,3.7,2.2,5.3,27,1,1.5
52000,1,1,1,-0.3,-3.5,2.8,0,0,1.4
000,1,1,1,2.3,-3.8,9.1,0,0,0.8
000,1,0,1,5.4,-0.7,9.8,0,0,0.8
52000,0,0,1,-1.5,-8.2,6.3,0,0,2.5
50500,0,1,0,-5.9,-10.6,-1.6,0,0,1.5
87500,1,1,0,-4.8,-7.9,-2.2,0,0,2.2
000,1,0,1,-4.8,-10.5,-1.1,0,0,1.2
34500,0,0,1,-2.8,-8,1.1,0,0,1.3
34500,0,0,0,-0.2,-5.2,3,0,0,1
49500,0,0,0,-1.9,-6.2,1.8,0,0,1.6
38000,0,0,0,-1,-6.3,4.1,0,0,0.7
14000,0,1,0,-0.3,-2.1,1.4,1,1,1.1
