rent,holiday,holiday_before,holiday_after,ave_temper,low_temper,high_temper,ave_rain,rain_exist,ave_wind
455,1,1,0,2.4,-1.2,7.1,0,0,0.7
0,1,0,1,0.8,-3.2,6.3,0,0,0.7
465,0,0,1,1.2,-2.4,5.1,0,0,0.1
310,0,0,0,-1,-6.8,3.2,0,0,1.9
455,0,0,0,-5.4,-11.7,-2.4,0,0,1.2
515,0,0,0,-0.2,-3.5,3.5,0,0,1.3
720,0,1,0,-0.4,-5.6,5.2,0,0,0.6
775,1,1,0,2.8,-1.5,7.8,0,0,0.6
575,1,0,1,-0.7,-5.1,4.5,0,0,2.5
445,0,0,1,-0.9,-7.9,4.6,0,0,1.3
535,0,0,0,2.1,-3.2,6.7,0,0,0.9
565,0,0,0,2.2,-1.4,6.7,0,0,1.5
375,0,0,0,-0.8,-5.6,4.7,0,0,0.8
130,0,1,0,-1.1,-4.1,2.2,0,0,1.6
630,1,1,0,-2.7,-6.2,0.6,0,0,1.9
0,1,0,1,-0.6,-7.8,4.2,0,0,0.9
210,0,0,1,1.5,-2.7,3.5,0,0,2
630,0,0,0,-0.9,-6.2,4.8,0,0,0.8
360,0,0,0,2,-2.8,6.5,0,0,0.7
415,0,0,0,-1.4,-5.3,3,0,0,2.3
500,0,1,0,-2.1,-8.2,2.5,0,0,1
660,1,1,0,2,-3.9,6.1,0,0,1.5
185,1,1,1,3.7,2.2,5.3,27,1,1.5
520,1,1,1,-0.3,-3.5,2.8,0,0,1.4
0,1,1,1,2.3,-3.8,9.1,0,0,0.8
0,1,0,1,5.4,-0.7,9.8,0,0,0.8
520,0,0,1,-1.5,-8.2,6.3,0,0,2.5
505,0,1,0,-5.9,-10.6,-1.6,0,0,1.5
875,1,1,0,-4.8,-7.9,-2.2,0,0,2.2
0,1,0,1,-4.8,-10.5,-1.1,0,0,1.2
345,0,0,1,-2.8,-8,1.1,0,0,1.3
345,0,0,0,-0.2,-5.2,3,0,0,1
495,0,0,0,-1.9,-6.2,1.8,0,0,1.6
380,0,0,0,-1,-6.3,4.1,0,0,0.7
140,0,1,0,-0.3,-2.1,1.4,1,1,1.1
595,1,1,0,-1.8,-3.9,0.7,0,0,1.8
605,1,0,1,-1.9,-8.1,3.3,0,0,1.1
518,0,0,1,1,-5.5,5.5,0,0,0.4
0,0,0,0,1.4,-0.1,3.4,5.5,1,0.4
500,0,0,0,1.9,-0.7,4.7,0,0,0.9
565,0,0,0,1.7,-2.9,7.3,0,0,0.4
530,0,1,0,3,-1.9,9.1,0,0,0.5
1015,1,1,0,5.4,0,12,0,0,1.1
0,1,0,1,5.4,-0.2,12.5,0,0,0.9
200,0,0,1,4,0.1,8.9,0,0,1.1
425,0,0,0,4.8,-1.8,10,0,0,0.9
285,0,0,0,7.5,3.4,12.9,0,0,0.9
360,0,1,0,5.9,0.7,11.7,0,0,0.7
510,1,1,0,6.1,0.4,12.1,0,0,0.9
500,1,1,1,7.1,0.7,13.4,0,0,0.5
515,1,0,1,9.1,2.2,14.9,0,0,0.8
